antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
#nablus,#عروض,0.03529411764705882,0.2676470588235294,0.016176470588235296,0.45833333333333337,1.7124542124542126,0.006730103806228375,1.352036199095023,0.43126385809312645
"#palestine, #مطاعم",#تسوق,0.052941176470588235,0.13676470588235295,0.011764705882352941,0.2222222222222222,1.6248506571087213,0.004524221453287196,1.109873949579832,0.4060559006211179
#ramallah,#مطاعم,0.058823529411764705,0.20588235294117646,0.01764705882352941,0.3,1.457142857142857,0.005536332179930796,1.1344537815126052,0.3333333333333333
#nablus,#مطاعم,0.03529411764705882,0.20588235294117646,0.010294117647058823,0.2916666666666667,1.4166666666666667,0.0030276816608996544,1.1211072664359865,0.30487804878048785
"#تسوق, #عروض",#palestine,0.033823529411764704,0.3514705882352941,0.016176470588235296,0.47826086956521746,1.3607422230307444,0.004288494809688584,1.2430147058823533,0.2743877127438773
#الكترونيات,#تعليم,0.11764705882352941,0.15,0.023529411764705882,0.2,1.3333333333333335,0.0058823529411764705,1.0625,0.2833333333333333
#hebron,#عروض,0.052941176470588235,0.2676470588235294,0.01764705882352941,0.3333333333333333,1.2454212454212454,0.0034775086505190317,1.0985294117647058,0.20807453416149074
"#palestine, #عيادة",#عروض,0.05,0.2676470588235294,0.016176470588235296,0.3235294117647059,1.208791208791209,0.0027941176470588254,1.0826086956521739,0.18181818181818193
"#palestine, #تسوق",#عروض,0.05,0.2676470588235294,0.016176470588235296,0.3235294117647059,1.208791208791209,0.0027941176470588254,1.0826086956521739,0.18181818181818193
"#عيادة, #قهوة",#palestine,0.025,0.3514705882352941,0.010294117647058823,0.4117647058823529,1.1715481171548117,0.00150735294117647,1.1025,0.15018315018315015
"#palestine, #تسوق",#مطاعم,0.05,0.20588235294117646,0.011764705882352941,0.23529411764705882,1.1428571428571428,0.0014705882352941176,1.0384615384615385,0.13157894736842107
"#تسوق, #مطاعم",#palestine,0.029411764705882353,0.3514705882352941,0.011764705882352941,0.4,1.1380753138075315,0.0014273356401384094,1.0808823529411766,0.12500000000000008
#ramallah,#عيادة,0.058823529411764705,0.17794117647058824,0.011764705882352941,0.2,1.1239669421487604,0.0012975778546712793,1.0275735294117645,0.11718749999999992
#الكترونيات,#عروض,0.11764705882352941,0.2676470588235294,0.03529411764705882,0.3,1.120879120879121,0.003806228373702425,1.046218487394958,0.12222222222222232
"#عروض, #عيادة",#palestine,0.041176470588235294,0.3514705882352941,0.016176470588235296,0.3928571428571429,1.1177525403466828,0.001704152249134951,1.068166089965398,0.10987172336865605
"#palestine, #صيدلية",#عروض,0.03529411764705882,0.2676470588235294,0.010294117647058823,0.2916666666666667,1.0897435897435899,0.0008477508650519029,1.0339100346020764,0.08536585365853656
"#palestine, #تعليم",#عروض,0.045588235294117645,0.2676470588235294,0.013235294117647059,0.2903225806451613,1.0847217298830203,0.0010337370242214546,1.031951871657754,0.08183530217428532
#صيدلية,#قهوة,0.12205882352941176,0.20441176470588235,0.026470588235294117,0.21686746987951808,1.060934385022103,0.0015203287197231852,1.0159049773755657,0.06541969104783182
"#صيدلية, #عروض",#palestine,0.027941176470588237,0.3514705882352941,0.010294117647058823,0.3684210526315789,1.0482272627174631,0.00047361591695501727,1.0268382352941177,0.0473308839420791
#تسوق,#مطاعم,0.13676470588235295,0.20588235294117646,0.029411764705882353,0.2150537634408602,1.044546850998464,0.0012543252595155693,1.0116841257050766,0.04940374787052804
