topic_id,posts,median_caption_length,mean_caption_length,median_hashtags_count,mean_hashtags_count,median_emoji_count,mean_emoji_count,median_likes_count,mean_likes_count,median_comments_count,mean_comments_count,median_views_count,mean_views_count,performance_score,support_score,opportunity_score,scored_metrics,top_1grams,top_2grams,top_3grams
1,30,68.0,72.73333333333333,1.0,1.8666666666666667,1.5,1.8666666666666667,1019.0,1598.8666666666666,14.0,269.3333333333333,149500.0,251506.66666666666,0.6336461183310533,1.0,0.7435522828317374,"median_likes_count, median_comments_count, median_views_count, mean_likes_count","cake, new, vanilla, coffee, cheesecake, freshly, taste, cream","vanilla cake, vanilla taste, favorite cake",
0,30,27.5,33.3,0.5,0.9,1.0,1.4,914.5,1026.9333333333334,7.5,22.266666666666666,107800.0,181673.33333333334,0.34377924139817684,1.0,0.5406454689787238,"median_likes_count, median_comments_count, median_views_count, mean_likes_count","فانيلا, رمضان, شو, فرع, نابلس, عجيب, فيكم, كريم","توست فانيلا, بوفيه فانيلا, فانيلا فانيلا, علي البوفيه, فرنش توست, فرع الطيره",فرنش توست فانيلا
2,20,180.0,198.5,3.5,2.9,4.0,4.35,520.5,634.2,45.0,253.7,122000.0,192950.0,0.33104854891459257,0.6666666666666666,0.43173398424021475,"median_likes_count, median_comments_count, median_views_count, mean_likes_count","فانيلا, الان, كيك, فرع, كيكه, للحجز, وفرع, يوم","فرع الطيره, نابلس للحجز, وفرع نابلس, الطيره وفرع, الافطار الرمضاني, بوفيه الافطار, فانيلا فرع, الرمضاني فانيلا","وفرع نابلس للحجز, فرع الطيره وفرع, الطيره وفرع نابلس, الافطار الرمضاني فانيلا, بوفيه الافطار الرمضاني, فانيلا فرع الطيره, الرمضاني فانيلا فرع, فرنش توست فانيلا"
4,15,84.0,93.86666666666666,2.0,3.066666666666667,1.0,2.0,557.0,834.7333333333333,11.0,328.4,238000.0,337266.6666666667,0.3770030756759898,0.5,0.41390215297319277,"median_likes_count, median_comments_count, median_views_count, mean_likes_count","فانيلا, وكل, اليوم, يوم, الطيره, نابلس, وفرع, مشاريب","وكل يوم, اليوم وكل, فانيلا اليوم, نابلس للحجز, وفرع نابلس, علي البوفيه, فانيلا فرع, الرمضاني فانيلا","اليوم وكل يوم, فانيلا اليوم وكل, بوفيه الافطار الرمضاني, وفرع نابلس للحجز, فانيلا فرع الطيره, فرع الطيره وفرع, الرمضاني فانيلا فرع, الطيره وفرع نابلس"
3,19,142.0,153.31578947368422,4.0,5.105263157894737,2.0,2.1052631578947367,788.0,781.7368421052631,13.0,203.94736842105263,136000.0,149442.1052631579,0.3070168912269162,0.6333333333333333,0.4049118238588413,"median_likes_count, median_comments_count, median_views_count, mean_likes_count","vanilla, فانيلا, cake, فقط, coffee, اليوم, وكل, يوم","وكل يوم, اليوم وكل, فانيلا اليوم, vanilla taste, vanilla cake, favorite cake, فرنش توست","اليوم وكل يوم, فانيلا اليوم وكل"
5,8,64.5,62.375,2.0,2.25,2.0,1.5,365.5,979.25,2.0,7.125,271000.0,337312.5,0.3394220801658604,0.26666666666666666,0.31759545611610224,"median_likes_count, median_comments_count, median_views_count, mean_likes_count","اكبر, كيك, كيكه, كريم, like, يوم, نابلس, فانيلا",,
