Topic,Count,Name,Representation,Representative_Docs
-1,4,-1_بداية_أطيب_اتفقتوا_العلاج,"['بداية', 'أطيب', 'اتفقتوا', 'العلاج', 'إيجابية', 'ام', 'بطاقة', 'انت', 'علي', 'عاشق']",
0,51,0_vanilla_cake_vanilla_today_and_everyday_today_and_everyday,"['vanilla', 'cake', 'vanilla_today_and_everyday', 'today_and_everyday', 'coffee', 'فانيلا_اليوم_وكل_يوم', 'فانيلا', 'you', 'اليوم_وكل_يوم', 'قهوة']",
1,35,1_فانيلا_في_new_فانيلا_اليوم_وكل_يوم,"['فانيلا', 'في', 'new', 'فانيلا_اليوم_وكل_يوم', 'نابلس', 'فرع', 'الطيرة', 'perfect', 'year', 'me']",
2,14,2_من_الجديدة_فانيلا_كيك,"['من', 'الجديدة', 'فانيلا', 'كيك', 'wait', 'no', 'vanilla', 'الآن', 'مع', 'فانيلا_اليوم_وكل_يوم']",
3,8,3_أمي_أجمل_الحجوزات_الأم,"['أمي', 'أجمل', 'الحجوزات', 'الأم', 'نعمة', 'عام', 'رسائل', 'عبر', 'الصفحة', 'هلا']",
4,6,4_ramadankareem_ramadan2025_022961179_للحجز,"['ramadankareem', 'ramadan2025', '022961179', 'للحجز', 'وفرع', 'الرمضاني', 'بوفيه', 'فرع', 'الطيرة', 'نستقبل']",
5,6,5_رمضان_النهائي_atmosphere_our,"['رمضان', 'النهائي', 'atmosphere', 'our', '16', 'خامس', 'انتظرونا', 'ايام', 'حلى', 'نقدمه']",
