business_label,post_count,dominant_topic_id,topic_id_list,avg_topic_probability,avg_engagement_rate,median_engagement_rate,avg_view_rate,median_view_rate,avg_view_engagement_rate,median_view_engagement_rate,avg_likes_count,median_likes_count,avg_comments_count,median_comments_count,avg_views_count,median_views_count,avg_hashtags_count,median_hashtags_count,avg_caption_length,median_caption_length,avg_emoji_count,median_emoji_count,avg_discount_percent,median_discount_percent,avg_engagement,median_engagement,avg_like_rate,median_like_rate,avg_comment_rate,median_comment_rate,avg_total_engagement,median_total_engagement,avg_engagement_rate_followers,median_engagement_rate_followers,avg_likes_rate_followers,median_likes_rate_followers,avg_comments_rate_followers,median_comments_rate_followers,avg_views_per_follower,median_views_per_follower,avg_like_view_rate,median_like_view_rate,avg_comment_view_rate,median_comment_view_rate,avg_high_engagement,median_high_engagement,avg_high_view_rate,median_high_view_rate,avg_high_comment_rate,median_high_comment_rate,percentage_reels,percentage_images,percentage_carousels,dominant_post_type,percentage_CTA_present,percentage_promo_post,percentage_mentions_location,percentage_religious_theme,percentage_patriotic_theme,percentage_arabic_dialect_style,representative_posts,performance_score,scored_metrics,support_score,opportunity_score
كريم Homemade,15,4,4,0.3535258134206136,0.015363694206666664,0.0106258993,2.3706615463733334,1.0935251799,0.008101839433333334,0.00659375,1269.9333333333334,1320.0,402.8666666666667,10.0,250600.0,152000.0,1.4,1.0,69.93333333333334,72.0,1.7333333333333334,2.0,0.0,0.0,1672.8,1351.0,0.010798093633333332,0.0094964029,0.0045656005733333335,7.19424e-05,1672.8,1351.0,0.015363694206666664,0.0106258993,0.010798093633333332,0.0094964029,0.0045656005733333335,7.19424e-05,2.3706615463733334,1.0935251799,0.007409515173333333,0.0064375,0.0006923242733333335,7.57576e-05,0.6,1.0,0.26666666666666666,0.0,0.4,0.0,100.0,0.0,0.0,reel,20.0,80.0,0.0,0.0,0.0,26.666666666666668,What’s your favorite cake ❤️🍰? #VANILLA_Today_and_everyday || Rainbow Cake 😋😋 #rainbowcake #Today_and_Everyday #VANILLA #فانيلا #اليوم_وكل_يوم #رينبوكيك,0.8021825632254086,"avg_engagement_rate, median_engagement_rate, avg_view_rate, median_view_rate, avg_views_count, avg_likes_count, avg_comments_count",0.39473684210526316,0.679948846889365
رسايل الصفحه عبر,18,3,3,0.2678209576341841,0.01600401833333333,0.0062941935,2.09777016875,1.7120077134,0.009325178,0.0050292925,1923.611111111111,581.5,165.16666666666666,16.5,243611.11111111112,208000.0,1.8333333333333333,1.5,95.16666666666667,77.5,2.4444444444444446,2.5,0.0,0.0,2088.777777777778,685.0,0.014326757138888887,0.00431592455,0.0016772611611111112,0.000118705,2088.777777777778,685.0,0.01600401833333333,0.0062941935,0.014326757138888887,0.00431592455,0.0016772611611111112,0.000118705,2.09777016875,1.7120077134,0.008838822005555556,0.0042061826,0.0004863559944444445,0.00019921265,0.3333333333333333,0.0,0.5,0.5,0.4444444444444444,0.0,88.88888888888889,0.0,0.0,reel,55.55555555555556,72.22222222222221,16.666666666666664,16.666666666666664,5.555555555555555,61.111111111111114,شاركونا إجابتكم بالتعليقات 👇 #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday || كل يوم له بداية… وأجمل بداية بطاقة إيجابية #فانيلا_اليوم_وكل_يوم,0.7097694120599979,"avg_engagement_rate, median_engagement_rate, avg_view_rate, median_view_rate, avg_views_count, avg_likes_count, avg_comments_count",0.47368421052631576,0.6389438515998932
نابلس فانيلا,38,1,1,0.19377169326732033,0.008290452168421053,0.006449640249999999,2.0203358094763155,1.4064748201500001,0.008331964718421053,0.006453064499999999,915.0526315789474,848.5,117.21052631578948,6.0,263247.36842105264,176000.0,1.9210526315789473,1.0,70.36842105263158,36.0,1.7894736842105263,1.0,0.0,0.0,1032.2631578947369,896.5,0.007010957265789475,0.0061798561000000005,0.0012794948999999998,4.31655e-05,1032.2631578947369,896.5,0.008290452168421053,0.006449640249999999,0.007010957265789475,0.0061798561000000005,0.0012794948999999998,4.31655e-05,2.0203358094763155,1.4064748201500001,0.00789612285,0.004365833350000001,0.0004358418789473684,4.705575e-05,0.34210526315789475,0.0,0.3684210526315789,0.0,0.2631578947368421,0.0,89.47368421052632,0.0,0.0,reel,21.052631578947366,60.526315789473685,31.57894736842105,28.947368421052634,0.0,73.68421052631578,تنفسنا أم لِجين ستبقى حينين 💕 PS💕 || Orchestrate your mornings to the tune of VANILLA® coffee.. . #today_and_everyday #الصباح #قهوة #فانيلا #اليوم_وكل_يوم #VANILLA #coffee #morning #trending,0.40095384910138215,"avg_engagement_rate, median_engagement_rate, avg_view_rate, median_view_rate, avg_views_count, avg_likes_count, avg_comments_count",1.0,0.5806676943709674
Vanilla تشيزكيك,25,2,2,0.239942090511322,0.008124816924,0.005971223,2.057485294232,0.9352517986,0.006291799024000001,0.0054563107,723.88,557.0,189.36,8.0,210756.0,130000.0,3.76,2.0,114.88,123.0,2.0,2.0,0.0,0.0,913.24,568.0,0.005985397912,0.0040071942,0.002139419016,5.7554e-05,913.24,568.0,0.008124816924,0.005971223,0.005985397912,0.0040071942,0.002139419016,5.7554e-05,2.057485294232,0.9352517986,0.005865144183999999,0.0051071429,0.00042665484000000006,0.0001363636,0.24,0.0,0.28,0.0,0.28,0.0,88.0,0.0,0.0,reel,28.000000000000004,60.0,8.0,0.0,0.0,48.0,استمر بالأكل أنت بأمان 😜🤤 #فانيلا_اليوم_وكل_يوم #طعام #وزن #أكل #كيك VANILLA #Today_and_Everyday #Food #Eating #Cake #Desserts || شرب القهوة بالليل يؤذي المعدة؟ 🤔 #فانيلا_اليوم_وكل_يوم #قهوة #الليل VANILLA #Today_and_Everyday #Coffee #Night,0.26356757445167306,"avg_engagement_rate, median_engagement_rate, avg_view_rate, median_view_rate, avg_views_count, avg_likes_count, avg_comments_count",0.6578947368421053,0.38186572316880274
رمضان كريم,7,0,0,0.5503729752131871,0.008740744657142857,0.0072374101,1.8905500047571429,1.5323741007,0.007043430628571428,0.0065205993,1102.5714285714287,1000.0,64.0,18.0,256542.85714285713,213000.0,1.0,0.0,41.0,26.0,1.7142857142857142,2.0,0.0,0.0,1166.5714285714287,1006.0,0.008103806185714286,0.0071942446,0.0006369384571428572,0.0001294964,1166.5714285714287,1006.0,0.008740744657142857,0.0072374101,0.008103806185714286,0.0071942446,0.0006369384571428572,0.0001294964,1.8905500047571429,1.5323741007,0.0063899810285714285,0.0061097257,0.0006534496142857144,0.0001353383,0.42857142857142855,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,85.71428571428571,0.0,0.0,reel,14.285714285714285,71.42857142857143,42.857142857142854,100.0,14.285714285714285,57.14285714285714,Ramadan 🌙 Milkshake 😍🌴 #Ramadan2025 #RamadanKareem #VANILLA_Today_and_everyday #فانيلا_اليوم_وكل_يوم || رمضان كريم 🌙✨,0.42817560556776785,"avg_engagement_rate, median_engagement_rate, avg_view_rate, median_view_rate, avg_views_count, avg_likes_count, avg_comments_count",0.18421052631578946,0.35498608179217434
كيك فانيلا,17,5,5,0.45828033194822426,0.00910537695882353,0.007294964,1.2377653001705884,0.7697841727,0.009887226676470589,0.0073010753,791.5294117647059,788.0,224.58823529411765,14.0,139488.23529411765,107000.0,4.0,4.0,191.1764705882353,169.0,3.588235294117647,2.0,0.0,0.0,1016.1176470588235,1006.0,0.006592421152941176,0.0063669065,0.0025129557941176474,0.0001007194,1016.1176470588235,1006.0,0.00910537695882353,0.007294964,0.006592421152941176,0.0063669065,0.0025129557941176474,0.0001007194,1.2377653001705884,0.7697841727,0.008297735341176471,0.0060616438,0.0015894913352941177,0.0002189781,0.29411764705882354,0.0,0.23529411764705882,0.0,0.4117647058823529,0.0,76.47058823529412,0.0,0.0,reel,29.411764705882355,70.58823529411765,11.76470588235294,17.647058823529413,11.76470588235294,58.82352941176471,ومن أهم فوائدها إنها تذهب الحزن.. التلبينة النبوية.. صحية، فوائدها كثيرة ولذيذة هي طبق تقليدي قديم ذكرها الرسول محمد صلى الله عليه وسلم في أحاديث لها فيها من فوائد وشفاء #فانيلا_اليوم_وكل_يوم #vanilla_today_and_everyday || طول بالك! 😂🤭 لما تتعب بالزينة بالاخر يغير رأيه الزبون ويصير بده اياها برا! #فانيلا_اليوم_وكل_يوم #كيك #زينة #قهوة #طول_بالك VANILLA #Today_and_Everyday #Cake #Coffee,0.13416054207414158,"avg_engagement_rate, median_engagement_rate, avg_view_rate, median_view_rate, avg_views_count, avg_likes_count, avg_comments_count",0.4473684210526316,0.22812290576768857
