business_name,sector,followers_count,post_date,day_of_week,month,post_type,caption_text,caption_length,hashtags_count,emoji_count,likes_count,comments_count,views_count,language,CTA_present,promo_post,mentions_location,religious_theme,patriotic_theme,arabic_dialect_style,sponsored,hashtags,hashtag_count,view_rate,engagement,engagement_rate,view_rate_ratio,performance_label
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-12,Tuesday,September,reel,قاعدين على قلوبكم ❤️🥳 #فانيلا_اليوم_وكل_يوم #كيك #قهوة #وينجز #مشاريب VANILLA #Today_and_Everyday #wings #coffee #cake #drinks,156,10,2,1080,7,143000,Mixed,False,False,False,False,False,True,0,"['فانيلا_اليوم_وكل_يوم', 'كيك', 'قهوة', 'وينجز', 'مشاريب', 'today_and_everyday', 'wings', 'coffee', 'cake', 'drinks']",10,1.0287769784172662,1087,0.007820143884892087,0.9597315436241611,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-10,Sunday,September,reel,"Taste Like Home CN, Noodles that will make you crave for more Want some? Get some. ❤️ . بفرع الطيرة فقط، وقرّباً نابلس #Today_and_Everyday #noodles #نودلز #اليوم_وكل_يوم",203,4,1,221,5,33800,Mixed,True,True,True,False,False,True,0,"['today_and_everyday', 'noodles', 'نودلز', 'اليوم_وكل_يوم']",4,0.24316546762589927,226,0.0016258992805755397,0.22684563758389262,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-09,Saturday,September,reel,Rainbow Cake 😋😋 #rainbowcake #Today_and_Everyday #VANILLA #فانيلا #اليوم_وكل_يوم #رينبوكيك,111,6,2,275,4,110000,Mixed,False,False,False,False,False,True,0,"['rainbowcake', 'today_and_everyday', 'vanilla', 'فانيلا', 'اليوم_وكل_يوم', 'رينبوكيك']",6,0.7913669064748201,279,0.0020071942446043167,0.7382550335570469,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-08,Friday,September,reel,There is no better way to bring people together than with Coffee and Cake! 😋 . #today_and_everyday #desserts #coffee #كيك #اليوم_وكل_يوم #قهوة,169,6,1,129,0,105000,Mixed,False,False,False,False,False,False,0,"['today_and_everyday', 'desserts', 'coffee', 'كيك', 'اليوم_وكل_يوم', 'قهوة']",6,0.7553956834532374,129,0.0009280575539568345,0.7046979865771812,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-09-06,Wednesday,September,reel,Orchestrate your mornings to the tune of VANILLA® coffee.. . #today_and_everyday #الصباح #قهوة #فانيلا #اليوم_وكل_يوم #VANILLA #coffee #morning #trending,177,9,0,216,0,132000,Mixed,False,False,False,False,False,False,0,"['today_and_everyday', 'الصباح', 'قهوة', 'فانيلا', 'اليوم_وكل_يوم', 'vanilla', 'coffee', 'morning', 'trending']",9,0.9496402877697842,216,0.0015539568345323742,0.8859060402684563,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-08-24,Thursday,August,reel,⚠️ اكتشفوا شو الغلط الفادح! اللي صار بالفيديو واكتبوه بالتعليقات لندخل معاً محاولة للسحب مع وحبيبنا شاروما رول 🌯 ومشروب من المشاريب الصيفية الجديدة 🍹 🟢 السحب الصحيح الحاصل على أكبر عدد من اللايكات 🔴 ينتهي السحب في غضون ثلاثة أيام من تاريخ 28/8 😅 شو تستنوا احضروا الفيديو وشاركوه مع أصحابكم 🥳 ملاحظة الجائزة محصورة فقط لطلبة المدرسة، يلي يسي سي سي مي #فانيلا_اليوم_وكل_يوم #مسابقة VANILLA #Today_and_Everyday #competition,510,4,11,453,102,107000,Arabic,True,True,False,False,False,True,0,"['فانيلا_اليوم_وكل_يوم', 'مسابقة', 'today_and_everyday', 'competition']",4,0.7697841726618705,555,0.003992805755395684,0.7181208053691275,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-08-22,Tuesday,August,reel,"I’m not a vegetarian, I’m a dessertarian! 🤤🍰 #vanilla #desserts #cake #today_and_everyday #فانيلا #كيك #اليوم_وكل_يوم #سعادة",154,8,2,373,0,112000,Mixed,False,False,False,False,False,False,0,"['vanilla', 'desserts', 'cake', 'today_and_everyday', 'فانيلا', 'كيك', 'اليوم_وكل_يوم', 'سعادة']",8,0.8057553956834532,373,0.0026834532374100718,0.7516778523489933,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-08-21,Monday,August,reel,You can’t buy Happiness but you can buy Ice Cream 😋 . #vanilla #today_and_everyday #icecream #فانيلا #اليوم_وكل_يوم #ايسكريم,146,6,1,481,0,130000,Mixed,False,False,False,False,False,False,0,"['vanilla', 'today_and_everyday', 'icecream', 'فانيلا', 'اليوم_وكل_يوم', 'ايسكريم']",6,0.935251798561151,481,0.003460431654676259,0.87248322147651,avg_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-08-20,Sunday,August,reel,😋 قطعها..غرفها..غمسها.. فوكاشا من فانيلا صنعت بحب 🥰 Focaccia #FreshlyBaked #yummy #Breakfast #VANILLA #VANILLA_Today_and_everyday #فانيلا #فانيلا_اليوم_وكل_يوم,197,8,2,157,1,108000,Mixed,False,True,False,False,False,True,0,"['freshlybaked', 'yummy', 'breakfast', 'vanilla', 'vanilla_today_and_everyday', 'فانيلا', 'فانيلا_اليوم_وكل_يوم']",7,0.7769784172661871,158,0.0011366906474820143,0.7248322147651007,low_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-08-16,Wednesday,August,reel,🍓🥛 مع حليب أو مع برتقال 🍊؟ شاركونا كيف بتفضلوها 😋🥰 الميلك بيريز ميلك شيك 🍓 Mixied Berries Milkshake #mixesberries #milkshake ★★★★★ VANILLA #VANILLA_Today_and_everyday #فانيلا #فانيلا_اليوم_وكل_يوم,248,6,6,475,22,308000,Mixed,True,True,False,False,False,True,0,"['mixesberries', 'milkshake', 'vanilla_today_and_everyday', 'فانيلا', 'فانيلا_اليوم_وكل_يوم']",5,2.2158273381294964,497,0.003575539568345324,2.0671140939597317,high_view_rate
Vanilla Palestine,Cafes/Restaurants,139000,2023-08-13,Sunday,August,reel,SanSebastian Cheesecake 🤤😋 تنتقل الى عالم آخر بمجرد البدء بسكب الكراميل على سان سيباستيان تشيزكيك 🤤🤍 #سانسيباستيان #cheesecake #sansebastian #VANILLA #Today_and_Everyday #فانيلا_اليوم_وكل_يوم,236,6,5,561,13,136000,Mixed,False,True,False,False,False,True,0,"['سانسيباستيان', 'cheesecake', 'sansebastian', 'vanilla', 'today_and_everyday', 'فانيلا_اليوم_وكل_يوم']",6,0.9784172661870504,574,0.004129496402877698,0.912751677852349,avg_view_rate
