week,business_engagement_rate,business_name,sector,sector_engagement_rate,rolling_business,growth,difference_from_sector
2023-08-07,0.004564748201438849,Vanilla Palestine,Cafe,0.004564748201438849,0.004564748201438849,0.0,0.0
2023-08-14,0.002356115107913669,Vanilla Palestine,Cafe,0.002356115107913669,0.003460431654676259,-0.24192277383766747,0.0011043165467625898
2023-08-21,0.0033788968824940047,Vanilla Palestine,Cafe,0.0033788968824940047,0.0034332533972821744,-0.007854007854007805,5.435651478816975e-05
2023-09-04,0.0015287769784172662,Vanilla Palestine,Cafe,0.0015287769784172662,0.0024212629896083132,-0.29476135040745055,0.0008924860111910471
2023-09-11,0.009338129496402878,Vanilla Palestine,Cafe,0.009338129496402878,0.004748601119104716,0.9612083195774184,-0.004589528377298161
2023-09-18,0.004053956834532374,Vanilla Palestine,Cafe,0.004053956834532374,0.004973621103117506,0.04738658362090731,0.0009196642685851322
2023-09-25,0.0031942446043165466,Vanilla Palestine,Cafe,0.0031942446043165466,0.0055287769784172665,0.11162005785920925,0.00233453237410072
2023-10-02,0.006964028776978417,Vanilla Palestine,Cafe,0.006964028776978417,0.004737410071942446,-0.14313597918022125,-0.002226618705035971
2024-12-30,0.006136690647482014,Vanilla Palestine,Cafe,0.006136690647482014,0.005431654676258992,0.1465451784358387,-0.0007050359712230227
2025-01-06,0.005798561151079136,Vanilla Palestine,Cafe,0.005798561151079136,0.006299760191846523,0.15982339955849922,0.0005011990407673868
2025-01-13,0.004705035971223022,Vanilla Palestine,Cafe,0.004705035971223022,0.005546762589928057,-0.11952797868290832,0.0008417266187050352
2025-01-20,0.014115107913669066,Vanilla Palestine,Cafe,0.014115107913669066,0.008206235011990408,0.4794638996973628,-0.005908872901678658
2025-01-27,0.002514388489208633,Vanilla Palestine,Cafe,0.002514388489208633,0.007111510791366907,-0.13340151957919344,0.004597122302158274
2025-02-03,0.03888129496402878,Vanilla Palestine,Cafe,0.03888129496402878,0.018503597122302158,1.6019221041982803,-0.02037769784172662
2025-02-10,0.07569301260022909,Vanilla Palestine,Cafe,,0.0390295653511555,1.1092961056806434,0.0390295653511555
2025-02-17,0.014974574979191906,Vanilla Palestine,Cafe,0.011565947242206234,0.04318296084781659,0.1064166474643593,0.03161701360561035
2025-02-24,0.009007898011487717,Vanilla Palestine,Cafe,0.010645083932853716,0.03322516186363624,-0.2305955587268127,0.022580077930782524
2025-03-03,0.007103941588996844,Vanilla Palestine,Cafe,0.002191846522781775,0.01036213819322549,-0.6881237709012795,0.008170291670443714
2025-03-10,0.009806907934624317,Vanilla Palestine,Cafe,0.005294964028776978,0.00863958251170296,-0.16623554418997177,0.003344618482925981
2025-03-17,0.007173539518900344,Vanilla Palestine,Cafe,,0.008028129680840502,-0.07077342337250658,0.008028129680840502
2025-03-24,0.045624284077892326,Vanilla Palestine,Cafe,,0.020868243843805662,1.5993904774120278,0.020868243843805662
2025-04-07,0.036781214203894616,Vanilla Palestine,Cafe,,0.02985967926689576,0.43086689471280226,0.02985967926689576
2025-04-14,0.017147766323024054,Vanilla Palestine,Cafe,,0.033184421534936996,0.11134554521914253,0.033184421534936996
2025-04-21,0.0055441008018327605,Vanilla Palestine,Cafe,,0.019824360442917143,-0.4026003912092969,0.019824360442917143
2025-04-28,0.013982436044291715,Vanilla Palestine,Cafe,,0.012224767723049507,-0.383346173600411,0.012224767723049507
2025-05-05,0.04533791523482245,Vanilla Palestine,Cafe,,0.021621484026982312,0.7686621551275385,0.021621484026982312
2026-01-05,0.003971223021582734,Vanilla Palestine,Cafe,,0.021097191433565633,-0.02424868675815195,0.021097191433565633
2026-01-12,0.00043884892086330936,Vanilla Palestine,Cafe,,0.016582662392422832,-0.21398720561260043,0.016582662392422832
2026-01-19,0.00019424460431654677,Vanilla Palestine,Cafe,,0.0015347721822541946,-0.9074471791118727,0.0015347721822541946
2026-01-26,0.0037050359712230215,Vanilla Palestine,Cafe,,0.0014460431654676235,-0.057812500000000266,0.0014460431654676235
2026-02-02,0.015305755395683454,Vanilla Palestine,Cafe,,0.006401678657074338,3.4270315091210666,0.006401678657074338
2026-02-16,0.009514388489208634,Vanilla Palestine,Cafe,,0.0095083932853717,0.4852968720734223,0.0095083932853717
2026-02-23,0.009942446043165468,Vanilla Palestine,Cafe,,0.011587529976019183,0.21866330390920563,0.011587529976019183
2026-03-02,0.012697841726618704,Vanilla Palestine,Cafe,,0.010718225419664267,-0.0750206953642385,0.010718225419664267
2026-03-09,0.012544364508393286,Vanilla Palestine,Cafe,,0.01172821742605915,0.09423127120856178,0.01172821742605915
2026-03-16,0.008492805755395683,Vanilla Palestine,Cafe,,0.011245003996802555,-0.0412009269356598,0.011245003996802555
2026-03-23,0.012866906474820142,Vanilla Palestine,Cafe,,0.011301358912869703,0.005011551448373952,0.011301358912869703
2026-03-30,0.010744604316546762,Vanilla Palestine,Cafe,,0.01070143884892086,-0.05308388739567149,0.01070143884892086
2026-04-06,0.008949640287769785,Vanilla Palestine,Cafe,,0.010853717026378893,0.014229691876750605,0.010853717026378893
2026-04-13,0.01083453237410072,Vanilla Palestine,Cafe,,0.010176258992805755,-0.06241714538223564,0.010176258992805755
